iter	Passed	Remaining
399	65615	98423
400	65800	98290
401	65951	98107
402	66096	97914
403	66248	97733
404	66394	97542
405	66562	97384
406	66695	97175
407	66808	96937
408	66971	96773
409	67146	96624
410	67312	96465
411	67478	96303
412	67693	96213
413	67827	96007
414	67938	95768
415	68139	95657
416	68328	95529
417	68493	95366
418	68686	95243
419	69003	95290
420	69125	95068
421	69340	94974
422	69484	94781
423	69698	94684
424	69831	94477
425	70040	94373
426	70182	94179
427	70346	94014
428	70532	93878
429	70778	93822
430	70933	93645
431	71135	93529
432	71277	93335
433	71453	93185
434	71614	93016
435	71759	92826
436	71948	92693
437	72078	92484
438	72264	92346
439	72459	92221
440	72633	92068
441	72772	91871
442	72887	91644
443	73048	91474
444	73221	91321
445	73401	91176
446	73601	91054
447	73737	90855
448	73876	90658
449	74016	90464
450	74162	90278
451	74318	90102
452	74530	89996
453	74796	89953
454	74981	89813
455	75147	89649
456	75366	89549
457	75578	89440
458	75783	89321
459	75988	89203
460	76437	89370
461	76605	89207
462	76857	89141
463	77034	88987
464	77200	88822
465	77398	88692
466	77548	88508
467	77796	88435
468	78017	88330
469	78147	88124
470	78288	87929
471	78434	87739
472	78617	87593
473	78901	87556
474	79089	87415
475	79259	87251
476	79458	87120
477	79650	86982
478	79812	86811
479	80003	86670
480	80181	86515
481	80340	86341
482	80525	86194
483	80723	86060
484	80909	85914
485	81067	85738
486	81233	85570
487	81383	85385
488	81583	85253
489	81895	85238
490	82037	85045
491	82244	84918
492	82526	84869
493	82754	84765
494	82909	84584
495	83201	84543
496	83446	84454
497	83572	84243
498	83785	84121
499	84000	84000
500	84134	83798
501	84271	83600
502	84395	83388
503	84535	83193
504	84692	83015
505	84815	82804
506	84983	82637
507	85147	82465
508	85268	82252
509	85418	82069
510	85526	81843
511	85748	81729
512	85881	81528
513	86022	81336
514	86178	81158
515	86329	80975
516	86471	80784
517	86714	80688
518	86877	80516
519	87031	80337
520	87189	80160
521	87301	79943
522	87459	79767
523	87650	79621
524	87779	79419
525	87937	79243
526	88048	79026
527	88268	78906
528	88397	78705
529	88545	78521
530	88734	78373
531	88903	78208
532	89104	78071
533	89231	77868
534	89370	77677
535	89499	77476
536	89602	77255
537	89720	77046
538	89918	76905
539	90040	76701
540	90160	76494
541	90359	76355
542	90508	76173
543	90665	75998
544	90802	75807
545	90947	75622
546	91107	75451
547	91240	75256
548	91406	75089
549	91567	74918
550	91753	74767
551	92064	74718
552	92289	74599
553	92467	74440
554	92626	74268
555	92757	74072
556	92894	73882
557	93047	73704
558	93179	73510
559	93316	73320
560	93532	73192
561	93673	73005
562	93846	72843
563	94006	72671
564	94187	72515
565	94369	72361
566	94561	72213
567	94716	72037
568	94884	71872
569	95019	71681
570	95197	71523
571	95360	71353
572	95480	71152
573	95591	70944
574	95720	70750
575	95826	70539
576	95954	70344
577	96077	70146
578	96282	70008
579	96409	69814
580	96554	69632
581	96674	69432
582	96836	69263
583	96963	69069
584	97081	68869
585	97237	68696
586	97363	68502
587	97485	68306
588	97630	68126
589	97773	67944
590	97894	67747
591	98034	67563
592	98187	67390
593	98297	67186
594	98410	66985
595	98580	66823
596	98857	66733
597	99002	66553
598	99221	66423
599	99362	66241
600	99502	66059
601	99642	65876
602	99831	65726
603	99992	65557
604	100129	65373
605	100421	65290
606	100559	65106
607	100703	64927
608	100856	64753
609	100997	64571
610	101151	64398
611	101385	64277
612	101564	64119
613	101727	63952
614	101871	63772
615	102021	63597
616	102172	63422
617	102335	63255
618	102528	63107
619	102659	62920
620	102828	62756
621	102970	62577
622	103158	62424
623	103292	62240
624	103468	62081
625	103585	61886
626	103792	61745
627	103918	61556
628	104055	61374
629	104190	61191
630	104381	61040
631	104570	60889
632	104760	60737
633	104976	60601
634	105247	60496
635	105435	60343
636	105643	60201
637	106025	60158
638	106265	60034
639	106629	59978
640	106761	59793
641	106945	59636
642	107092	59458
643	107248	59286
644	107530	59183
645	107699	59017
646	107835	58834
647	107948	58638
648	108073	58449
649	108211	58267
650	108364	58093
651	108519	57921
652	108737	57782
653	108927	57628
654	109229	57533
655	109466	57403
656	109905	57378
657	110095	57222
658	110238	57043
659	110382	56863
660	110624	56735
661	110781	56562
662	110958	56399
663	111108	56223
664	111308	56072
665	111518	55926
666	111829	55831
667	112158	55743
668	112536	55679
669	112733	55525
670	113071	55440
671	113231	55267
672	113484	55140
673	113787	55036
674	113921	54851
675	114152	54712
676	114412	54586
677	114551	54403
678	114744	54246
679	114983	54109
680	115090	53911
681	115236	53731
682	115361	53542
683	115570	53392
684	115721	53214
685	115952	53074
686	116073	52883
687	116186	52689
688	116333	52510
689	116486	52334
690	116640	52159
691	116782	51978
692	116949	51808
693	117115	51638
694	117256	51457
695	117391	51274
696	117512	51085
697	117724	50935
698	117920	50778
699	118094	50611
700	118298	50458
701	118497	50302
702	118661	50131
703	118964	50019
704	119146	49855
705	119339	49696
706	119533	49537
707	119673	49356
708	119934	49225
709	120072	49043
710	120264	48883
711	120492	48738
712	120669	48572
713	120829	48399
714	121035	48245
715	121359	48137
716	121586	47990
717	121877	47868
718	122034	47693
719	122151	47503
720	122261	47310
721	122445	47146
722	122585	46965
723	122714	46780
724	122975	46646
725	123097	46458
726	123265	46288
727	123424	46114
728	123582	45940
729	123724	45761
730	123990	45627
731	124113	45440
732	124265	45264
733	124440	45096
734	124695	44958
735	124852	44784
736	124998	44605
737	125198	44447
738	125451	44306
739	125637	44142
740	125800	43970
741	126095	43844
742	126224	43660
743	126374	43483
744	126549	43315
745	126713	43143
746	126879	42972
747	127035	42798
748	127207	42629
749	127357	42452
750	127577	42299
751	127772	42137
752	127964	41974
753	128124	41801
754	128268	41623
755	128420	41447
756	128607	41283
757	128779	41114
758	128952	40945
759	129155	40785
760	129307	40610
761	129471	40438
762	129643	40269
763	129807	40097
764	129933	39914
765	130191	39771
766	130390	39610
767	130590	39449
768	130756	39277
769	130955	39116
770	131098	38938
771	131331	38787
772	131496	38615
773	131622	38432
774	131791	38261
775	131931	38083
776	132118	37918
777	132290	37748
778	132564	37608
779	132715	37432
780	132932	37275
781	133046	37089
782	133154	36902
783	133380	36747
784	133610	36593
785	133834	36438
786	133976	36260
787	134120	36083
788	134271	35907
789	134431	35734
790	134565	35555
791	134750	35389
792	134978	35234
793	135113	35054
794	135296	34887
795	135587	34748
796	135821	34594
797	136119	34456
798	136336	34297
799	136510	34127
800	136632	33944
801	136842	33784
802	136968	33602
803	137129	33429
804	137241	33244
805	137420	33076
806	137550	32896
807	137693	32719
808	137950	32569
809	138144	32404
810	138306	32231
811	138451	32055
812	138576	31874
813	138696	31692
814	138854	31519
815	139012	31345
816	139137	31165
817	139423	31020
818	139592	30850
819	139738	30674
820	139865	30494
821	140004	30317
822	140141	30139
823	140281	29962
824	140442	29790
825	140609	29619
826	140744	29442
827	140920	29273
828	141072	29099
829	141341	28949
830	141482	28773
831	141638	28600
832	141801	28428
833	141921	28248
834	142141	28087
835	142326	27920
836	142470	27745
837	142623	27571
838	142776	27398
839	142920	27222
840	143054	27046
841	143236	26878
842	143446	26715
843	143589	26540
844	143737	26365
845	143842	26184
846	143978	26007
847	144093	25828
848	144244	25654
849	144390	25480
850	144574	25313
851	144718	25138
852	144832	24959
853	144985	24786
854	145134	24613
855	145258	24436
856	145402	24261
857	145524	24084
858	145655	23908
859	145786	23732
860	145898	23553
861	146074	23385
862	146218	23211
863	146369	23039
864	146541	22870
865	146660	22693
866	146818	22522
867	146975	22351
868	147149	22182
869	147352	22018
870	147569	21855
871	147863	21704
872	148054	21538
873	148296	21379
874	148456	21208
875	148608	21035
876	148778	20866
877	148979	20701
878	149225	20541
879	149398	20372
880	149519	20196
881	149646	20020
882	149844	19854
883	150005	19683
884	150145	19510
885	150297	19338
886	150466	19168
887	150609	18995
888	150736	18820
