iter	Logloss
0	0.5653663344
1	0.5047298175
2	0.4404046222
3	0.4084983894
4	0.3885991514
5	0.3659004661
6	0.3542139602
7	0.348033507
8	0.3428497413
9	0.3376423989
10	0.3318496901
11	0.32955132
12	0.3169703748
13	0.3129569101
14	0.311166707
15	0.3083540753
16	0.3029162302
17	0.2984765395
18	0.2973492492
19	0.2958183531
20	0.2935614172
21	0.2921638264
22	0.2915490081
23	0.2860252407
24	0.2854502407
25	0.2834255794
26	0.2825849112
27	0.2823424271
28	0.2819589772
29	0.2812737322
30	0.2807656722
31	0.2797037897
32	0.2792203541
33	0.2776115896
34	0.2768122159
35	0.2750831349
36	0.2744914326
37	0.2742512645
38	0.2736107363
39	0.270309541
40	0.2695430677
41	0.2693816068
42	0.2686231281
43	0.2678698474
44	0.2677807425
45	0.2663803833
46	0.2633464153
47	0.2625709206
48	0.2611057245
49	0.2588341112
50	0.257886966
51	0.2556400692
52	0.2546191661
53	0.2507688081
54	0.2480357839
55	0.2474496525
56	0.2462877872
57	0.2449525335
58	0.2435966204
59	0.2421802246
60	0.2407327944
61	0.2398784
62	0.2391061805
63	0.2375857592
64	0.2365358468
65	0.2353166092
66	0.233685989
67	0.2330534637
68	0.2319488167
69	0.23047127
70	0.2297372165
71	0.22965324
72	0.2288915369
73	0.2278705573
74	0.2273165436
75	0.226833868
76	0.226078351
77	0.2255902018
78	0.2252638048
79	0.22448735
80	0.2244462992
81	0.2239227619
82	0.2230482247
83	0.2223174563
84	0.2217976356
85	0.2207946842
86	0.2201320031
87	0.219584896
88	0.2185595981
89	0.2163699221
90	0.2154933488
91	0.2145773691
92	0.2140052631
93	0.2131021468
94	0.2125718781
95	0.211905023
96	0.2115612729
97	0.2107932094
98	0.2105933209
99	0.2100521965
100	0.2095883194
101	0.2091565439
102	0.208622114
103	0.2084008928
104	0.2080524451
105	0.2074012604
106	0.2069714342
107	0.2067534453
108	0.2063981386
109	0.2056236539
110	0.2056159454
111	0.2051731957
112	0.2051698072
113	0.2045603184
114	0.2037963206
115	0.2031957419
116	0.2031176699
117	0.2031087666
118	0.2031012861
119	0.2027778539
120	0.2022509137
121	0.2017747941
122	0.2017652723
123	0.2012883781
124	0.2001216908
125	0.2001078293
126	0.1996333391
127	0.1993030393
128	0.1985037292
129	0.197733013
130	0.1968441649
131	0.1964289444
132	0.1960199395
133	0.19595344
134	0.195237084
135	0.1948975629
136	0.1945849069
137	0.1941983439
138	0.1936817762
139	0.1934832914
140	0.1929945484
141	0.1925663976
